gene,module,program,umap1,umap2
CSNK1A1,5,other,1.2231542,6.6863246
HMGN3,0,other,-1.3043467,6.010854
CSK,1,other,3.3476274,3.823924
VAPA,0,other,-0.5304606,5.9080877
PPP2R1A,0,other,-1.2519917,6.7545576
ZFAND5,4,other,2.1477652,7.868871
RPS10,9,other,-1.7811551,3.3907754
LAMP1,15,other,1.0477151,7.8745723
PRKDC,5,other,0.6487588,6.6698046
SNRNP70,5,other,1.7975832,6.02164
CLEC14A,6,other,2.9921825,9.347692
FABP4,6,other,3.1153777,9.526607
CHMP2A,0,other,-0.8786961,6.689982
CASP4,18,IFN_gamma,2.2677956,3.2660496
PSMA5,0,other,-0.20922707,5.0018334
GABARAPL2,0,other,-0.5607376,5.245451
ERP29,9,other,-1.3194155,3.9489706
TNFRSF18,1,other,5.025839,3.7359226
SFRP4,2,other,1.4701601,10.624252
ATRX,5,other,1.644745,5.6990266
CDH11,2,other,1.10947,11.398436
TSPAN4,2,other,1.533205,9.145873
RAP1B,1,other,0.73754436,4.0178804
SRSF3,0,other,-0.0070830532,5.0962434
NCOA3,7,IFN_gamma,1.5802788,14.4094095
COPE,0,other,-0.99266607,5.9187284
UBE2I,0,other,-0.83186036,4.837548
EIF2S2,0,other,-1.2686994,6.787734
PDCD6,0,other,-1.4378692,5.303592
LSM2,0,other,-1.9867502,5.879022
NUDC,0,other,-1.4998049,7.157714
UXT,9,other,-1.8132851,3.3557186
POLR2E,0,other,-1.1815053,5.9621496
RSL1D1,9,other,-2.1074655,3.9601011
SDHC,0,other,-1.7156305,7.498778
RALY,1,other,-0.49566168,4.6384773
ANP32E,7,G2M,0.022060622,15.018369
ATP1A1,5,other,0.9931975,7.4308815
SDF2L1,15,other,0.17990562,8.340402
CBX3,0,other,-1.6935775,6.3055058
CLIC4,2,other,1.2465819,9.254129
ARL6IP4,9,other,-1.4483638,4.421892
CD164,15,other,0.46062258,6.875373
TRAM1,15,other,0.3923446,8.107953
RBM8A,0,other,-0.557455,4.967339
HNRNPH1,5,other,1.853638,5.945631
SNRPC,0,other,-1.8940711,6.413709
ANXA6,1,other,2.073723,4.17193
UBE2J1,8,other,0.142087,12.119593
MZT2B,0,other,-2.5624032,7.1686945
M6PR,1,other,2.6719854,4.157702
DEK,0,other,-0.83060825,5.4887586
GTF2A2,0,other,-1.7102039,5.4146333
RPS19BP1,0,other,-1.6416147,6.1689935
NUCB2,15,other,0.6906122,7.3260965
HNRNPU,5,other,0.8009064,5.726202
SIVA1,0,other,-1.3850924,5.9275174
HNRNPA3,0,other,0.32815775,5.276383
C11orf58,0,other,-0.84810895,4.618145
RAD23A,0,other,-1.8694588,6.213037
MRFAP1,0,other,-0.774595,7.7019386
ARHGDIA,1,other,0.18016154,4.0639563
EIF1AX,0,other,-1.767283,6.3503933
DPP7,15,other,0.74247515,6.7423043
C19orf70,0,other,-1.6788114,5.972495
PFKP,7,IFN_gamma,1.0212531,14.764847
ARL4C,1,other,3.526687,4.058295
CTSA,4,other,1.8488599,7.988096
DST,2,other,1.4860283,9.892206
PRDM1,1,other,4.4075913,3.6929762
NMI,18,IFN_alpha,1.5911705,2.481873
CKAP5,7,G2M,0.6849558,15.354975
TMEM230,0,other,-0.6239777,7.0689373
YBX3,2,other,0.31643564,8.749677
IL16,1,other,3.7559614,4.2859225
GHITM,0,other,-0.8701751,6.182725
DUT,0,other,-0.89523137,6.924584
SUMO3,0,other,-1.1425086,6.969677
NDFIP1,15,other,0.43239442,6.437311
GBP1,18,other,1.341295,2.7588282
ANXA11,1,other,0.6894014,4.0895996
POLD4,4,other,3.2166212,6.5968103
PPP4C,0,other,-1.0489364,5.636612
VPS28,0,other,-1.3411686,5.040266
CASP7,7,IFN_gamma,1.4800357,14.701125
RNF19A,1,other,3.6500716,4.8408723
UBXN4,5,other,1.053539,5.67417
ADRM1,0,other,-1.4372466,7.105502
RWDD1,0,other,-1.0579692,5.965145
KRT14,11,other,-1.9689888,9.984358
EIF2S3,9,other,-2.1140602,4.0646963
TMCO1,15,other,0.67647964,7.0929894
DNAJA1,0,other,0.020586576,5.6764417
SLC3A2,15,other,0.6622719,7.7510686
NDUFA12,0,other,-1.0832458,5.9189677
TNFRSF14,1,other,2.9033885,3.8140292
PYURF,0,other,-0.94822586,5.2191453
COA3,0,other,-1.8361158,7.3584385
GNG2,1,other,4.0594826,3.7473822
EIF3I,0,other,-1.1633407,6.4314027
ANP32A,0,other,-1.5457063,6.802098
ACP1,0,other,-2.5505173,7.17992
SEC31A,2,other,0.95615005,9.920713
PSMA4,0,other,-0.80272496,6.748156
RAB7A,0,other,-0.32375753,6.2372847
GLRX,4,other,2.641031,6.9650474
EIF4G2,0,other,0.2873609,5.3742213
HLA-DQA2,4,other,3.5807114,6.824816
COX14,0,other,-2.1041527,5.2961164
SLFN5,1,other,3.7774968,4.159066
NDUFV1,0,other,-2.0039244,7.882462
SCP2,0,other,-0.7717089,6.6425877
PPM1G,1,other,-1.1702673,5.504568
ZNFX1,18,IFN_gamma,1.2187897,2.527855
NFKB1,7,IFN_gamma,1.6471741,14.546406
OS9,15,other,0.9077923,8.010808
