gene,module,program,umap1,umap2
CDK16,10,other,-3.526235,9.174017
IGLV3-1,8,other,-0.39766583,12.854719
MNDA,4,other,3.1602654,7.9226265
AQP3,11,other,2.265666,5.373227
MAP1B,2,other,1.372917,10.133613
TFPI,2,other,1.9291794,10.257446
PLAT,3,other,-4.055417,8.600245
PHF1,1,other,3.7047145,4.792406
IGLV2-23,8,other,-0.19472755,13.058124
IRF2BP2,5,other,1.2545681,7.077893
GJA1,2,other,1.5735704,12.223966
SMARCE1,0,other,-2.1852,8.320106
LCN2,11,other,-2.321928,10.858115
PSMD11,0,other,-1.8051769,8.202748
NUMA1,5,other,1.9678962,6.5483217
INPP4B,1,other,3.5978582,5.256637
GID8,0,other,-2.5985582,7.996772
GNG10,0,other,-0.6558773,6.8721128
METTL5,0,other,-2.774133,7.8306575
PIN4,0,other,-2.5102975,7.8215656
CAMK4,1,other,4.541867,4.6193047
MRPS36,0,other,-2.1404562,6.272102
PBX1,3,other,-4.653311,10.946121
GOLGA7,11,other,3.1409483,5.7567773
R3HDM4,1,other,4.1013775,4.316482
NDUFA10,0,other,-2.5108438,7.9582105
LNPEP,1,other,4.1289506,5.2731085
POLR3GL,1,other,3.9404907,3.9980285
PLS3,2,other,1.6806132,9.778166
SNX10,4,other,3.1930795,7.823235
APMAP,1,other,2.4188657,5.3682084
TPP1,4,other,2.6634965,7.920796
NRP1,6,other,3.3706577,9.766946
SNCG,6,other,2.631165,9.538014
TEX264,1,other,2.0080953,5.5577474
MESP1,10,other,-3.4403772,9.355354
BAMBI,12,other,-1.2950584,11.221338
TFAP2A,3,other,-4.979006,9.99267
CRISPLD1,12,other,-1.1086696,10.075337
SF3B4,0,other,-2.2870834,8.387032
CYLD,1,other,4.5050583,4.482802
SH3BP5,6,other,2.2699869,9.67622
GAS6,2,other,1.8069183,9.878383
SZRD1,4,other,-0.7523486,7.916651
EIF2A,9,other,-2.1181264,4.3224196
UBA1,5,other,-1.2459564,8.47459
KDM5A,5,other,3.8036542,5.4703393
MMP9,4,other,2.8560097,8.063044
DDRGK1,3,other,-3.5266457,9.518961
CXCL8,4,other,3.9609869,8.057684
GNB1,5,other,1.3343376,7.45083
CHMP4B,0,other,-2.2144651,7.1374598
SRP72,0,other,-1.5264316,8.101363
SND1,15,other,-2.3428879,9.057686
JAK3,1,other,4.775149,4.744379
FHL2,20,other,-1.401507,9.458226
TIMM17A,10,other,-3.471473,8.710816
PCMT1,0,other,-2.2000175,8.513975
ZKSCAN1,5,other,1.3644878,7.0422077
ZNF638,5,other,2.1958044,6.5500913
ERBB2,21,other,-5.2301135,6.4628363
NDUFA8,0,other,-2.6092412,8.078714
TAT,3,other,-5.4142,10.036734
CD79B,16,other,4.5586987,7.178548
KRT81,10,other,-3.1531403,9.288317
COPA,5,other,1.0360272,7.116226
TMEM9B,4,other,0.77940166,7.223838
AC007952.4,19,other,2.1864328,4.88676
G3BP2,1,other,4.4539294,4.869911
GEM,2,other,1.601758,10.857801
PTGER4,1,other,4.265526,4.587182
SNRPA1,11,other,-2.4549425,10.696847
TBC1D9,3,other,-4.8294005,10.046919
CD19,16,other,4.624414,7.0976295
IGKV3-15,8,other,-0.19707938,13.013885
HMG20B,0,other,-2.8806005,8.0430155
ZNF331,19,other,2.9587498,4.786328
PPP1R10,19,other,2.4178433,5.184314
SCML4,1,other,4.419603,4.6788993
CCS,5,other,1.7881993,6.4199677
OTUD6B-AS1,12,other,-2.107135,8.963773
TMEM14A,0,other,-2.8733501,8.273262
SPHK1,8,other,-2.6259074,10.152824
METAP2,5,other,-1.5149231,7.9920435
ATP1B1,3,other,-4.717094,10.23556
SH3YL1,0,other,-3.1920643,8.96988
NUDT5,10,other,-3.3608615,9.516845
ODF2L,5,other,3.9763002,5.3958917
DMAC1,0,other,-2.5908544,7.7385907
VPS51,1,other,-1.3666658,8.691256
SMARCA5,5,other,3.1751487,5.9434104
MAZ,0,other,-2.1020284,8.55634
CD4,1,other,4.9074626,4.427766
VOPP1,8,other,4.674308,5.100397
PQBP1,0,other,-3.233985,8.808788
AGTRAP,4,other,1.8453584,8.238156
NDRG2,8,other,-2.869071,9.105687
NET1,8,other,-3.2005785,9.347946
MRPL55,0,other,-2.7071667,7.6580024
BBX,5,other,2.0423985,6.3837113
LAMP2,15,other,0.87769467,7.876005
NPW,12,other,-1.11664,10.73006
ZCRB1,0,other,-2.410288,7.5418644
DNMT1,7,other,0.3229218,14.780167
ETFA,0,other,-2.3256228,7.89741
ARHGAP18,4,other,3.4333737,7.937287
IGHG4,8,other,0.07878776,12.386417
TMEM30A,15,other,0.571805,9.105781
ABHD2,3,other,-4.786095,10.476164
ACTG2,11,other,-2.001851,10.019604
PRRC2A,5,other,1.528743,6.5790854
SH3BP1,1,other,4.589253,3.8280742
VAMP2,1,other,3.7237825,4.9807367
AZIN1,12,other,-2.5473392,8.824714
SS18L2,1,other,3.851563,4.414098
CXCL3,4,other,4.1616306,8.160259
PRPF4B,5,other,2.8151972,6.1199174
QDPR,3,other,-5.19983,9.977633
AC020916.1,19,other,3.1311777,4.8998036
PPFIBP1,2,other,2.0823104,9.790511
CWC15,4,other,-1.671612,8.20204
KRT5,11,other,-2.2518735,9.9720125
GFRA1,20,other,-2.0337567,9.006049
TRAPPC3,8,other,-2.7327304,8.891052
PTBP3,5,other,3.4725306,5.7159595
NBL1,2,other,1.1407744,11.820538
USP22,5,other,1.0163908,7.004196
MRPL11,0,other,-2.562105,7.7068577
B4GALT1,2,other,0.81445336,10.557619
ANXA4,15,other,-0.28330433,9.07753
TSEN34,0,other,-2.545005,8.447414
TTC39C,1,other,4.439696,4.568521
SLC7A2,3,other,-5.1994877,10.244255
NFIA,3,other,-4.2571907,11.124778
SMAP2,1,other,3.6721282,4.733532
SNORC,0,other,-3.0007293,8.51241
PRELP,12,other,-0.03613819,10.395362
ECE1,6,other,3.9631653,10.075181
LINC01943,1,other,5.103361,3.7778485
CD320,6,other,3.524921,10.054655
TMEM183A,0,other,-3.256124,8.586637
RORA,1,other,4.4192038,4.837184
STARD7,0,other,-2.5783088,8.703465
CNOT6L,1,other,4.247829,4.692031
PPP1R16A,12,other,-1.1586002,10.45673
AFF4,5,other,1.7187018,6.622735
PDLIM2,1,other,2.5481727,4.4328394
DGKA,1,other,4.60368,4.649908
EIF4E2,4,other,-0.553101,7.709772
C2orf40,12,other,-0.7618738,10.449881
CISD2,4,other,-0.26882294,7.597927
HEBP2,21,other,-3.3549614,9.429702
S100A7,0,other,-3.0695722,7.964736
MRPL21,12,other,-1.5862507,10.016646
LDLRAD4,1,other,2.5834064,5.295709
NAT1,3,other,-5.144153,10.073298
LTF,8,other,-3.1167414,9.999627
CNOT2,5,other,3.1212282,5.739989
CHD4,5,other,1.1727813,6.8224673
FOXP3,1,other,5.082808,3.8276558
PSMC4,0,other,-1.7256958,7.9039803
MRAS,11,other,-2.304424,10.761267
POLD2,10,other,-3.3468645,8.613763
HADHB,6,other,3.5530436,9.850581
MRPS33,0,other,-2.9887476,7.7499633
USP16,5,other,3.9431517,5.5358434
C6orf62,4,other,2.5362985,7.4254274
ETS2,6,other,3.1068847,9.167157
VGLL4,6,other,3.218961,11.225267
C6orf48,9,other,-2.378197,9.172072
CHD9,5,other,2.740851,6.4694047
ZNRD1,1,other,3.9014115,3.8370373
ELF5,8,other,-3.4543335,9.769334
LARP6,12,other,-1.1748307,10.880585
TSPAN1,3,other,-5.294352,10.206588
MMP24OS,0,other,-2.4356947,7.3213134
PSMB8-AS1,1,other,4.163739,4.98473
RAD23B,0,other,-2.46412,8.260965
ITGAL,1,other,4.766105,4.557491
INHBA,2,other,1.2455002,11.829433
RSBN1L,1,other,3.506785,5.375714
PTRHD1,8,other,-2.698685,9.23701
TUBB6,2,other,1.2904192,10.151821
PIAS1,1,other,3.9685159,5.369084
MRPL18,0,other,-2.560061,7.8728285
NPEPPS,5,other,1.7595062,6.7279234
CCDC12,1,other,4.3986707,5.240305
CAV2,6,other,2.9290404,9.95977
MRPL15,12,other,-1.5672698,10.217676
RUNX1,5,other,1.2317626,6.867655
PRKACB,3,other,-4.902427,12.890702
HVCN1,16,other,4.6021924,7.1179814
HTATIP2,3,other,-3.4574778,7.7669897
FAM173A,0,other,-2.531779,7.566347
NOTCH3,6,other,2.7650898,10.385101
LRRC15,2,other,1.1292734,11.923367
SYNE1,1,other,3.9735334,5.260376
BEX1,3,other,-5.546829,10.057351
A1BG,0,other,-1.518214,10.605662
SSH2,1,other,4.252262,5.359512
GABPB1-AS1,5,other,3.0131867,5.8459334
EPS15,1,other,4.2988787,5.2488365
MCAM,6,other,2.7289839,9.916482
SELENBP1,8,other,-3.271172,9.615098
GCHFR,4,other,3.724506,7.375439
UBAC2,1,other,4.3688426,5.191016
MEST,10,other,-4.388867,8.909669
ZMAT2,1,other,2.6409807,5.3412285
ORMDL1,1,other,4.583682,4.7861967
XCL2,1,other,4.8446336,3.0214145
SRA1,0,other,-0.7874608,7.5047193
FNTA,5,other,3.3247344,5.604556
CCL8,4,other,2.8237643,7.801893
TBL1XR1,20,other,-1.3380557,8.858923
AP1S2,4,other,3.1131952,7.5706434
AAMP,0,other,-3.0140462,8.580546
CAPNS1,5,other,1.0641471,7.4734797
MRPL24,10,other,-3.9417834,9.114822
SNHG12,1,other,3.873369,4.8501277
RRAGA,2,other,1.0834191,9.587785
ADD1,2,other,2.0487986,10.125506
SIAH2,3,other,-5.329931,10.110193
DCTPP1,0,other,-3.3137875,8.614196
SERPINE1,2,other,1.1214368,11.005739
PDLIM3,11,other,-2.0111835,10.413596
TOB1,1,other,2.8980627,5.421427
MRPL17,0,other,-2.2859225,8.007324
UGDH,3,other,-3.643786,8.926274
DERL1,8,other,-0.2626788,12.071246
ITGA11,2,other,1.3314905,12.070825
KRAS,1,other,5.470247,4.3829794
ITGAV,2,other,1.483363,11.325638
ANKRD11,5,other,3.295721,6.298748
CPB1,3,other,-4.964755,12.184151
SPON1,2,other,1.761649,11.53297
TPST2,1,other,5.253601,3.589606
PTP4A3,12,other,-1.5406418,10.4317875
TUSC3,3,other,-4.4991956,10.424602
TTYH1,11,other,-2.102847,11.43397
CALCRL,6,other,3.150109,9.377551
RABGGTB,3,other,-4.5199456,9.817881
OFD1,14,other,4.724287,5.4718294
PLPP5,3,other,-4.4832406,7.8983917
LTBP4,2,other,2.0746377,10.684905
SP140,16,other,4.4172196,5.984927
BNIP2,6,other,3.0812924,9.116772
EIF4E,0,other,-2.2760684,8.968413
PYCR1,12,other,-2.1343741,10.280457
TMEM248,2,other,1.4237152,12.072723
ERCC1,0,other,-0.7247757,7.2735248
FOLR1,11,other,-2.3051488,11.392312
IGKV3-11,8,other,-0.6896291,13.012073
OLFML2B,2,other,1.4031339,11.641
SNAI2,12,other,-0.97207475,10.476304
CMBL,21,other,-5.1649723,6.5670385
PAG1,1,other,5.2351747,4.660324
CLDND1,1,other,5.3266234,4.60079
SNX9,1,other,4.79646,4.1000314
LYAR,1,other,4.6444383,3.1781116
NELFE,0,other,-2.4663315,8.818645
CYFIP2,1,other,4.4642124,4.868616
MMP7,11,other,-2.3603673,9.97196
RAB4A,0,other,-2.7479088,8.675666
ACAN,12,other,-0.8444427,10.43737
PPP1R14A,6,other,2.6911101,10.078717
FAM213A,6,other,3.7623067,10.110924
MDM2,3,other,-4.5463767,7.683852
CTSF,11,other,1.9452977,11.071797
ERLIN2,3,other,-4.587864,7.6290407
VPREB3,16,other,4.566438,7.179908
TNXB,2,other,2.431705,10.960651
RAB34,2,other,1.3533728,11.012989
RAB18,0,other,-2.5448139,8.597734
FGFR1,2,other,2.1018262,11.6542225
GYG1,1,other,5.1973543,3.8442645
MIER1,1,other,4.3607244,5.2259583
CMC2,7,other,-0.15689817,14.689114
PLA2G2A,2,other,1.8509443,10.860797
RAB5C,4,other,1.2673835,7.379976
CSNK1D,5,other,2.7400475,6.160023
TCL1A,16,other,4.604471,7.1355047
VGLL1,11,other,-2.3803144,11.050296
ITGB5,2,other,1.1503674,11.97336
LTBR,15,other,-0.05471281,9.35547
PI15,3,other,-5.2669797,10.142117
HERC5,18,other,1.518512,2.5921223
FAM214A,3,other,-5.2431073,10.273029
SPATS2L,18,other,1.2485105,3.2689261
MAST4,3,other,-4.9722977,12.405754
ETHE1,0,other,-2.8263385,7.7341194
PYHIN1,1,other,5.3916645,4.898575
ATP6V1B2,4,other,3.3814108,8.020904
H1FX,20,other,4.776734,5.9079065
PTN,2,other,1.4418051,10.765954
RAB27A,1,other,5.5280147,3.7867436
IGHV3-23,8,other,-0.024093555,13.267576
ABI1,16,other,4.198748,5.9212766
KIF2A,1,other,4.6217933,4.5257497
CHPT1,8,other,-2.914688,10.02851
RBP1,0,other,-0.76950073,8.596652
TCIM,3,other,-4.780842,10.201649
KMT2A,5,other,3.979598,5.4813046
PDXK,21,other,-5.1090508,6.6429515
SUCLG1,0,other,-3.3673444,8.850058
LRRC26,21,other,-5.188741,6.5748286
PSMC1,0,other,-1.6153173,7.752653
TPBG,3,other,-4.654007,10.877812
MT1F,11,other,-2.3557596,9.8716545
EPRS,12,other,-1.7869095,10.7719
FAIM,11,other,-2.2557716,10.802714
ZNF652,21,other,-5.2539396,6.463931
C3orf14,3,other,-5.503897,9.985753
MYBPC1,3,other,-5.576732,10.076239
BRWD1,5,other,2.6818898,6.4094234
POLR2A,5,other,2.277684,6.070136
FAM50A,8,other,0.091112494,13.293044
RGMA,12,other,-0.72995704,10.422865
RASD1,13,other,2.345241,10.973927
SETX,5,other,3.212581,5.984856
PGGHG,20,other,-1.4340469,9.159873
PHF20L1,20,other,-1.2203397,9.203629
ITGAE,1,other,5.611381,3.7921379
IRX3,11,other,-3.0043807,11.492502
SNAP23,6,other,2.5233881,8.349641
NCKAP1L,1,other,4.273225,5.762427
SDC4,11,other,-1.4810189,11.267003
TRBV20-1,7,other,5.8005834,5.730117
NR2F2,6,other,2.86074,10.499883
TMUB1,1,other,3.2179809,4.892115
IGHV3-21,8,other,-0.1425387,12.979478
FLOT2,16,other,4.6638165,5.7809877
ATF7IP,14,other,4.1763453,5.660134
PHGDH,10,other,-3.371931,9.330362
NCOA4,19,other,3.737144,7.9871583
SSRP1,11,other,-2.58422,9.717555
MYO6,11,other,-3.049691,11.3771305
GINM1,13,other,2.0161545,10.350988
HSD17B11,6,other,2.90078,9.51856
SCOC,0,other,-2.9415553,8.655238
EPB41,1,other,4.667005,4.534643
DCAF7,5,other,3.5921116,5.9067574
PLEKHF2,3,other,-3.9835832,9.277328
PHF5A,8,other,-2.8012197,10.309325
KRT86,1,other,5.6088457,3.7364926
FAM102A,1,other,3.3737333,5.2248087
SMAP1,1,other,4.8299727,4.786021
CHCHD7,12,other,-1.2951852,10.219861
FMNL1,1,other,4.367923,4.427331
RNF13,4,other,2.6535542,8.107926
SLC25A37,2,other,-0.58083457,10.739743
POU2F2,16,other,4.492615,7.088253
NOVA1,3,other,-5.330573,10.27447
NRN1,6,other,2.4936068,9.750803
PXDNL,20,other,-1.6732347,9.282043
HIST3H2A,11,other,-2.536503,11.089641
PLPBP,3,other,-4.5990343,7.6275153
SENP6,5,other,2.8147793,6.3047085
PTP4A1,0,other,-2.1875296,7.209542
CYP1B1,2,other,1.8370239,10.900397
NT5C3A,18,other,1.4496006,2.651078
ACIN1,5,other,2.5514987,6.4424267
PLEKHJ1,1,other,3.649125,5.1108217
HDDC2,12,other,-2.7548072,7.4658875
SFXN1,1,other,4.6635365,4.5053926
ORMDL2,3,other,-4.557108,7.5858545
PLAC8,16,other,4.4377575,6.8809595
ZC3H11A,5,other,2.4557827,6.5198483
SAMD3,1,other,5.559947,4.661631
IGHV3-30,8,other,-0.063527346,12.869235
MARCO,4,other,4.3096323,8.492763
CLEC7A,4,other,3.2187223,8.145924
PDE4DIP,1,other,3.8949823,4.592863
AMD1,8,other,-2.9692519,9.8773575
SERTAD1,19,other,2.0418525,4.9291735
FAM107B,1,other,4.42518,4.439958
CELF1,5,other,2.6010966,6.2465267
MMP23B,2,other,1.5075457,10.817212
ZNF703,3,other,-4.4992537,7.6669345
ELK3,6,other,3.1336818,9.38548
IGHV1-18,8,other,0.057020243,13.130485
MSLN,8,other,-3.1469054,10.19944
TATDN1,12,other,-1.7268801,10.27735
MTIF3,3,other,-5.19776,12.786343
H2AFX,19,other,2.1714334,5.044298
APOBEC3C,1,other,5.3459463,3.5706935
RILPL2,1,other,3.9262962,4.514777
HERC2,6,other,4.0638366,10.028048
GORASP2,15,other,-0.4459455,8.839736
SUMF2,12,other,-0.95731163,10.258482
DHCR24,3,other,-4.5266867,10.119984
ARRDC1,3,other,-4.849192,10.294309
COMP,2,other,1.049139,11.681246
DHPS,1,other,-4.004283,9.4468155
DCK,16,other,4.47599,6.61043
PHYKPL,1,other,4.976402,4.6795774
ADGRF5,6,other,3.3451798,9.9753895
ZNF24,3,other,-4.112799,9.672908
IGLV1-51,8,other,-0.046967003,13.241776
ELOVL1,8,other,-1.1322469,8.883681
STX7,16,other,4.5534706,7.1223073
SLC52A2,8,other,-2.3086545,9.639962
SF3A1,1,other,4.430862,4.8102136
SERPINB6,6,other,2.6346383,9.082595
TMEM106C,11,other,-2.9501321,8.378287
ALDH9A1,12,other,-0.4775693,10.308528
LSM1,3,other,-3.1644804,8.703396
LAMA2,2,other,2.359978,10.942294
UFD1,8,other,-1.1707478,12.365104
ST3GAL1,1,other,3.5792406,5.1582003
TES,1,other,4.342695,4.7970624
PLOD1,2,other,0.026006034,10.646928
GPR65,1,other,4.8028126,4.9311795
TRAT1,1,other,4.630386,4.2595496
MGAT4A,1,other,4.7078257,4.8778276
KAT6B,3,other,-4.9555697,12.131683
STARD3,21,other,-4.8992333,6.4751225
TMED5,4,other,3.022218,7.9966717
TRBV7-9,14,other,5.7278423,4.9352136
CCNDBP1,1,other,4.2510705,4.56267
LYN,4,other,3.075361,8.046032
HUWE1,5,other,1.8314254,6.724513
MRPL9,12,other,-2.0954514,10.285512
RTBDN,3,other,-5.463594,10.222687
LDB2,6,other,3.9105644,9.983949
MATK,1,other,4.787788,3.0061476
CTNND1,6,other,4.1018744,10.375829
SECISBP2,5,other,3.9282742,5.405676
ARAP2,1,other,5.3169794,4.869791
PTPN22,1,other,5.183624,4.1408086
MMP19,4,other,4.118618,8.958612
GRHPR,0,other,-3.374962,9.200035
TSPAN15,3,other,-4.7664433,7.943755
GARS,10,other,-1.0549055,9.016036
HEG1,6,other,3.254591,9.438814
TREM2,4,other,3.2500505,8.124739
SHKBP1,1,other,3.9959629,5.316018
FRZB,12,other,-0.49574512,10.340272
TCEA3,3,other,-4.913635,10.077657
PLEKHB1,11,other,-2.592406,9.78788
POLB,3,other,-4.6106806,7.6576943
TMEM9,12,other,-0.7043497,10.210487
SLC35B1,21,other,-5.2406154,6.4603786
APOLD1,6,other,3.6007187,10.091175
SLA2,1,other,5.4533286,3.7175841
RAB24,16,other,4.794879,6.7665024
PTK2,12,other,-0.9862453,10.673497
SESN3,3,other,-4.908495,10.457727
MPLKIP,0,other,-3.6610713,8.950002
CA4,6,other,3.7356136,10.25392
RHOD,12,other,-1.0892256,10.608941
LRRFIP2,20,other,-2.4712903,9.034504
ACAA1,3,other,-4.931373,10.269285
IDI1,8,other,-3.494979,9.591555
PXDN,2,other,1.5201024,12.163622
MEF2A,12,other,-0.6299277,10.710846
RPL7L1,3,other,-3.553357,9.002548
BAG6,3,other,-5.379047,10.319364
SNHG19,8,other,-3.1361604,10.297814
SHMT2,12,other,-1.5765299,9.880746
RHBDD2,1,other,2.6052353,5.2496786
IGLV3-25,8,other,-0.15682694,13.151851
SMIM29,0,other,-1.9361644,6.940823
IGHV3-48,8,other,-0.46234414,13.005001
FIBIN,2,other,1.3946826,11.919784
ITGA1,6,other,3.185039,10.202552
ATP1B3,4,other,2.3520877,7.945138
IGKV1-12,8,other,0.014845428,12.452057
CHID1,15,other,-0.20179108,8.75523
ISYNA1,6,other,2.8340461,10.440112
FAM198B,2,other,-4.174342,12.269137
SHC1,6,other,1.4021473,9.504578
FXR1,11,other,-2.972369,9.344253
IGHV4-39,8,other,-0.81519616,12.845633
ERGIC2,14,other,6.1318917,6.694192
SFN,8,other,-3.097084,10.176234
KIAA1217,2,other,1.7483842,12.091675
ANGPTL4,2,other,1.3696691,11.053011
PYDC1,8,other,-3.1570108,10.157099
TTC14,5,other,2.531038,6.4623694
FAM32A,8,other,-3.3565645,10.467121
ORMDL3,21,other,-5.146755,6.4452534
SYT12,12,other,-1.1912531,10.604845
ABHD11,8,other,-3.4635937,10.01022
LSR,11,other,-2.3479419,11.271859
MRPL37,11,other,-2.7227395,9.092259
ITGA5,6,other,3.0790184,9.503777
ADAMTS2,2,other,1.4271504,11.734758
ADSS,8,other,-2.265499,9.598959
HDAC1,16,other,4.4260726,5.88464
HMGN4,1,other,4.269098,4.240226
STEAP4,6,other,2.7810519,10.316167
IGLV3-21,8,other,-0.05286824,13.335088
P4HA1,2,other,-0.097514935,10.683663
ODF3B,11,other,2.623418,9.888253
SCD,20,other,-2.0685267,9.223996
MIA,11,other,-1.9187089,11.362592
BEX4,19,other,-3.8504243,8.8966055
C8orf33,12,other,-1.3436003,9.879226
SCUBE2,3,other,-4.542546,10.329404
CSF1R,4,other,3.4245412,8.124864
FARP1,3,other,-5.2942276,10.152503
PTK7,2,other,1.5603548,12.194996
LSM10,4,other,2.7182515,6.8356256
CFDP1,5,other,-1.0447059,9.772364
RBPMS,6,other,2.8783865,10.459336
VCL,2,other,2.1165104,11.368509
HDAC7,6,other,2.381327,5.899431
BACE2,11,other,-2.2939465,11.318025
CHTOP,10,other,-4.3805003,9.011482
ANAPC13,3,other,-3.147305,8.175858
APPL1,5,other,1.3772827,6.7537837
SYNPO2,6,other,-5.4038386,10.358252
STK10,1,other,4.3270464,4.8684464
PAPSS1,12,other,-1.5150601,10.582874
TANK,1,other,4.9878273,4.4312906
ICOS,1,other,5.02538,3.8659654
IKBKB,3,other,-4.630718,7.6778717
SFT2D2,12,other,-1.0698562,10.966664
SYNM,11,other,-2.4592962,11.550326
CMTM7,11,other,4.053767,4.3011727
NEDD9,6,other,3.5676699,9.915526
LEF1,1,other,4.5641766,4.539605
C18orf32,3,other,-5.5830894,11.101619
SWAP70,16,other,4.7129693,6.9196024
ENPP2,6,other,3.5626318,9.932478
GNAI3,0,other,-1.7016417,8.562309
HMCN1,2,other,1.7766625,11.566761
RASGRP2,16,other,4.5884366,6.3646836
SLC11A1,4,other,4.3812065,8.31851
MCTS1,0,other,-2.455369,8.063174
PMEPA1,2,other,1.255541,12.014383
PMVK,3,other,-4.422293,9.396848
DCAF13,12,other,-1.4046736,10.229929
RNF115,6,other,-3.7613049,10.492314
DNAJB11,15,other,-0.36961564,8.4118805
INPP5D,16,other,4.560458,6.045724
AKIRIN2,1,other,4.2827816,5.6532907
ARPP19,3,other,-4.5467696,10.368533
CDC42EP4,8,other,-2.8560312,10.287707
PTGES,2,other,0.09613634,10.770248
CUEDC2,0,other,1.0422505,10.977772
HACD3,12,other,-0.7739685,10.307372
IGKV1-9,8,other,-0.01279871,13.220942
ARMT1,20,other,-1.7995415,9.167562
TROVE2,12,other,-0.73804706,10.744885
CALB2,10,other,-4.6593347,8.873731
PABPN1,5,other,2.0039098,6.686976
TRAPPC6A,0,other,-2.8841367,7.545342
ABLIM1,6,other,3.2089,9.555363
CCSER2,1,other,5.35763,4.9136395
UPF2,16,other,-1.4039296,11.929892
CD72,16,other,4.612069,7.0337334
MTA1,3,other,-5.4501886,10.071396
IGHV5-10-1,8,other,-0.825905,13.051083
CLDN1,10,other,-4.7904515,8.590036
IGFBP2,20,other,-1.6226621,9.20537
MARCH6,21,other,-5.1956067,6.4110737
NSMCE1,19,other,-2.582761,15.307884
SCAMP3,11,other,-1.6480527,10.038964
PON2,11,other,-2.280215,11.131722
LOXL2,2,other,0.65456915,11.396333
ODC1,12,other,-1.1953194,10.108316
GRB7,21,other,-5.256615,6.414907
ALPL,2,other,1.606629,10.995537
TNC,2,other,1.2816952,11.183819
RALGPS2,16,other,4.64538,7.127745
SCGB1D2,0,other,-3.0427551,8.058375
WBP1,3,other,-4.2290606,9.240738
THOC2,5,other,2.1320264,6.7448463
RAB9A,11,other,-2.6141965,9.8835335
CAMK2B,3,other,-5.892223,10.183374
MRFAP1L1,1,other,3.2310998,5.3960996
PFDN4,10,other,-3.7146473,9.202517
LONP2,3,other,-5.172942,10.233494
IFNG,1,other,5.622851,3.7221084
ERAP2,1,other,4.287139,5.044343
GPC3,13,other,2.6887326,11.223039
NUDCD2,0,other,-3.1761925,8.103841
AC093001.1,0,other,-3.078713,7.899091
FKBP9,2,other,1.4004111,11.906449
DHRS2,20,other,-1.8422247,9.120205
XRN1,18,other,1.6732079,2.7068594
COL9A2,3,other,-1.643551,10.9606495
CDC123,10,other,-3.3566055,9.642367
IL27RA,1,other,4.685293,4.5257945
LINC00926,16,other,4.7120004,6.950756
WWP2,12,other,-1.0879401,11.006214
CCDC69,16,other,4.388298,5.669149
FBLN5,13,other,2.530012,11.210593
IGHV3-74,8,other,-0.87873596,12.91597
CHGB,3,other,-5.663629,10.133045
PJA2,5,other,1.8112932,10.309114
EFCAB14,6,other,3.764626,10.09759
SYNGR1,11,other,-2.0536568,11.421391
RASSF1,1,other,5.64421,4.479393
MYO10,21,other,-5.2328105,6.4580445
TCEAL9,2,other,1.3156866,11.303866
TMEM50B,14,other,4.0705833,9.28571
HPRT1,10,other,-3.0440316,9.537386
GAS1,2,other,1.8660972,11.880534
CDC25B,1,other,4.4568434,4.7163534
MYO1F,1,other,5.041644,4.770638
POLR2H,3,other,-2.6762207,8.6155205
ARL1,15,other,-0.53999096,9.518775
IDH1,4,other,3.67612,8.214597
GLT8D2,2,other,2.3994105,12.055374
C20orf27,6,other,2.7791705,10.423152
COQ4,3,other,-5.0355716,10.819759
TLK2,21,other,-5.196666,6.505344
RBM42,10,other,-4.7025375,8.82188
ADM,2,other,-0.044543207,10.80351
MYOF,2,other,1.6688344,11.90214
CAPS,12,other,-1.215473,10.43656
HSPA4,20,other,-1.9736185,9.017045
EIF2AK1,10,other,-3.9830754,9.494436
HNRNPLL,1,other,5.1167674,3.9894912
NOTCH4,6,other,3.9033048,10.267102
CDC26,17,other,-1.8109447,12.655388
KCNQ1OT1,13,other,3.1898024,11.636597
NFIX,11,other,-2.5028272,11.698303
SLC7A5,1,other,5.6457086,3.8191783
SPOP,21,other,-5.1554923,6.5123725
ENAH,2,other,1.4818994,11.63077
ECHDC2,3,other,-4.7734847,10.451217
C1orf210,8,other,-3.1402545,10.255106
SPG7,14,other,5.5991507,6.5582366
GPR160,8,other,-3.429134,10.183001
PLAU,2,other,1.3535434,11.927254
JOSD2,4,other,1.7566415,8.004035
WWP1,20,other,-1.875039,9.083404
UPF3A,6,other,4.1285667,9.727783
PAICS,10,other,-2.8775594,9.702705
PDGFRA,13,other,3.161193,12.227611
TPSAB1,19,other,-2.4709477,15.733003
AKR1B1,4,other,2.995231,7.467515
APPBP2,21,other,-5.2951546,6.4078054
PTRH2,21,other,-5.291795,6.425869
TIMM10,0,other,-2.1097527,7.1386786
SMARCC2,5,other,1.9949769,6.880489
BCL11B,1,other,4.6139116,4.4030333
SLITRK6,3,other,-5.2739925,10.185705
SLC9A3R2,6,other,3.9031007,10.019358
MPC1,17,other,-1.8701135,11.993935
CPQ,12,other,-0.5663784,10.318796
ZMYM2,14,other,5.6512046,6.2199063
MAPRE1,0,other,-0.933552,7.5697055
TCEAL3,3,other,-4.006546,8.687513
CLINT1,14,other,6.107027,6.7206817
PTK2B,1,other,4.521172,5.67302
FPR3,4,other,3.400981,7.9989095
FADS2,11,other,-2.8495553,9.6097
PTDSS1,16,other,4.66134,6.6916113
RNF145,14,other,3.7740202,9.250733
