group,celltype,PC1,PC2
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,-95.92281699281915,-71.38632657331364
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,6.759482476980479,-4.2234653772148745
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,-72.33289478539726,7.869580893617512
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,280.59326351607587,-6.180666481343606
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,-13.485819954692237,-89.49827062246038
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,-131.62209207542367,-4.0976070563882585
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,167.76192614257297,-23.42770759953367
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,-115.03105800386325,23.418366272481137
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,80.08577167649091,30.023191992487348
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,-298.69654045011606,27.747036170082122
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,209.11999879476005,-13.932217906961974
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,235.1058705995181,4.042674941704908
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,-35.90338716561244,-56.39225848254387
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,70.72253734715392,31.38961775673258
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,-33.598068747191206,-65.38726818075955
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,-33.80326237544769,11.537669567076305
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,69.20255274042482,42.095578109605206
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,-170.50785672978068,13.637287831198593
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,-125.53403733504064,-53.258483254085874
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,217.20929707433476,25.96093952577644
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,-149.8444390010212,-77.39872045777254
